crank_angle_rad,total_volume_m3,specific_volume_m3_per_kg,pressure_kpa,temperature_k,specific_internal_energy_kj_per_kg,heat_added_to_next_state_kj_per_kg,work_on_gas_to_next_state_kj_per_kg,polytropic_exponent_to_next_state
1.35263017,0.0001327025253,0.2757763685,808.4688502,1180.144439,975.0344459,0,-5.040413289,1.173331062
1.376483003,0.0001357427473,0.2820944199,787.2645742,1175.520017,969.9940327,0,-4.910185894,1.173472908
1.400335837,0.0001387833013,0.2884131613,767.0633273,1171.011389,965.0838468,0,-4.783063864,1.173612736
1.42418867,0.0001418222652,0.2947285982,747.8092037,1166.615947,960.3007829,0,-4.658971204,1.173750527
1.448041503,0.0001448577418,0.301036788,729.4499156,1162.331143,955.6418117,0,-4.537831518,1.173886267
1.471894336,0.0001478878605,0.3073338433,711.9365399,1158.154489,951.1039802,0,-4.419568412,1.174019943
1.495747169,0.0001509107787,0.3136159347,695.2232838,1154.083558,946.6844118,0,-4.304105832,1.174151542
1.519600002,0.0001539246829,0.3198792937,679.2672661,1150.115984,942.3803059,0,-4.191368345,1.174281055
1.543452835,0.0001569277904,0.3261202155,664.0283151,1146.249459,938.1889376,0,-4.08128136,1.174408474
1.567305668,0.0001599183502,0.3323350611,649.4687813,1142.481736,934.1076562,0,-3.973771318,1.17453379
1.591158501,0.0001628946441,0.3385202603,635.5533628,1138.810627,930.1338849,0,-3.868765834,1.174657
1.615011335,0.0001658549881,0.3446723128,622.2489441,1135.234004,926.2651191,0,-3.766193817,1.174778098
1.638864168,0.0001687977328,0.3507877913,609.5244471,1131.749792,922.4989253,0,-3.665985555,1.174897081
1.662717001,0.0001717212645,0.3568633424,597.3506916,1128.355977,918.8329397,0,-3.568072781,1.175013948
1.686569834,0.0001746240061,0.3628956883,585.700268,1125.050599,915.2648669,0,-3.47238872,1.175128699
1.710422667,0.0001775044175,0.3688816286,574.5474172,1121.831751,911.7924782,0,-3.378868117,1.175241332
1.7342755,0.0001803609964,0.3748180412,563.8679209,1118.69758,908.4136101,0,-3.287447252,1.17535185
1.758128333,0.0001831922786,0.3807018834,553.638999,1115.646287,905.1261628,0,-3.198063946,1.175460255
1.781981166,0.0001859968385,0.3865301927,543.8392149,1112.676121,901.9280989,0,-3.11065755,1.175566549
1.805833999,0.0001887732898,0.3923000877,534.4483871,1109.785383,898.8174413,0,-3.025168939,1.175670738
1.829686833,0.0001915202848,0.3980087682,525.4475081,1106.97242,895.7922724,0,-2.941540485,1.175772824
1.853539666,0.0001942365157,0.403653516,516.8186682,1104.235631,892.8507319,0,-2.859716031,1.175872814
1.877392499,0.0001969207138,0.4092316948,508.5449854,1101.573457,889.9910159,0,-2.779640867,1.175970714
1.901245332,0.00019957165,0.4147407502,500.6105399,1098.984386,887.211375,0,-2.701261689,1.17606653
1.925098165,0.0002021881346,0.4201782098,493.0003134,1096.466951,884.5101133,0,-2.624526568,1.176160269
1.948950998,0.0002047690171,0.4255416826,485.7001329,1094.019727,881.8855868,0,-2.549384908,1.17625194
1.972803831,0.0002073131859,0.4308288589,478.6966181,1091.641331,879.3362019,0,-2.475787412,1.176341549
1.996656664,0.0002098195685,0.4360375095,471.9771329,1089.330422,876.8604144,0,-2.403686034,1.176429106
2.020509497,0.0002122871306,0.441165485,465.5297397,1087.085699,874.4567284,0,-2.333033945,1.17651462
2.044362331,0.0002147148759,0.4462107152,459.3431574,1084.905899,872.1236945,0,-2.263785486,1.1765981
2.068215164,0.0002171018458,0.4511712079,453.4067224,1082.7898,869.859909,0,-2.195896133,1.176679555
