algorithm,display_name,framework,run,seed,evaluations,fixed_cardinality_limit,front_size_before_hv48,front_size_hv48,was_truncated_for_hv48,hypervolume_raw,hypervolume_48,runtime_seconds,hv48_compromise_score,hv48_compromise_thermal_efficiency_percent,hv48_compromise_net_specific_power_kw_per_kg,hv48_compromise_engine_speed_rpm,hv48_compromise_ignition_timing_degrees,hv48_compromise_compression_ratio,hv48_compromise_connecting_rod_to_crank_ratio,is_hv48_representative_run
MOEA/D,MOEA/D,pymoo,9,20290727,4848,48,48,48,False,0.8446616330411623,0.8446616330411624,136.43005970000013,0.3988165679396793,35.662469394429934,15137.66952805502,5093.647114774171,-36.493077832574045,11.999980836270094,4.391434047712172,False
MOEA/D,MOEA/D,pymoo,10,20290728,4848,48,48,48,False,0.8393739879290337,0.8393739879290337,141.96192469999733,0.3987296542144037,35.60133166906772,15300.42861912747,5157.254934625249,-37.72528562856961,11.999999701057952,4.399212466975989,False
MOEA/D,MOEA/D,pymoo,11,20290729,4848,48,48,48,False,0.8314397590973038,0.831439759097304,143.34983159999683,0.3989852688692851,35.57361461198973,15362.97939700381,5182.3733622478285,-36.20363447743277,11.999986577519794,4.399935110988075,False
MOEA/D,MOEA/D,pymoo,12,20290730,4848,48,45,45,False,0.8351902574683646,0.8351902574683648,142.85304650000035,0.40057530074132847,35.84112439125677,14631.489098243796,4898.782394833484,-35.04345556643992,11.99997431853548,4.399430655848167,False
MOEA/D,MOEA/D,pymoo,13,20290731,4848,48,47,47,False,0.8380696069447716,0.838069606944772,140.55703630000062,0.3987798835159169,35.610793370341774,15273.207565394929,5146.711809498225,-37.04627029475793,11.999065481941749,4.3716442604373045,False
MOEA/D,MOEA/D,pymoo,14,20290732,4848,48,48,48,False,0.8401909305291655,0.8401909305291656,140.14355490000162,0.399502215100627,35.60140754920532,15265.79449006105,5145.569978589839,-37.74064332706952,11.998956176065697,4.312214656474911,False
MOEA/D,MOEA/D,pymoo,15,20290733,4848,48,48,48,False,0.8441839955514209,0.844183995551421,135.59826020000037,0.39860881013764066,35.56354681874692,15407.108274533382,5198.7306057150745,-37.12347026973836,11.999889477890225,4.378429469022971,False
MOEA/D,MOEA/D,pymoo,16,20290734,4848,48,48,48,False,0.8441838697548265,0.8441838697548266,137.28400479999982,0.39877504051501994,35.45077952001915,15716.12668673826,5319.8694864906965,-38.69954268969528,11.999929102604742,4.394498690468446,False
MOEA/D,MOEA/D,pymoo,17,20290735,4848,48,47,47,False,0.830987145243809,0.8309871452438093,143.15772930000094,0.3997996185277319,35.51685075767355,15481.308913417044,5230.635684129934,-39.20151881413142,11.999995352095134,4.394246981215054,False
MOEA/D,MOEA/D,pymoo,18,20290736,4848,48,48,48,False,0.8434247194288066,0.8434247194288065,137.88155639999968,0.39857374298516945,35.62367917641189,15248.560258440086,5136.547581038245,-36.97259626966408,11.999991781070644,4.39884733026968,False
MOEA/D,MOEA/D,pymoo,19,20290737,4848,48,48,48,False,0.8443295838063662,0.8443295838063664,137.41989369999646,0.39915787614723935,35.52467225420912,15488.817070871375,5232.020256807135,-38.79475082472344,11.999985915062563,4.399996776378435,False
MOEA/D,MOEA/D,pymoo,20,20290738,4848,48,48,48,False,0.84398383333693,0.8439838333369301,134.96952709999823,0.3990715333949875,35.7022679981421,15026.27060348181,5050.526404965789,-36.46125657011123,11.999948832323865,4.39406779446564,False
MOEA/D,MOEA/D,pymoo,21,20290739,4848,48,47,47,False,0.8442735238824987,0.8442735238824987,136.23321569999823,0.3991839337456794,35.4447368544374,15714.690770432808,5320.2902879383455,-37.16871095117396,11.999992727639764,4.3978598632408135,False
