algorithm,framework,run,seed,solution,engine_speed_rpm,ignition_timing_degrees,compression_ratio,connecting_rod_to_crank_ratio,thermal_efficiency_percent,net_specific_power_kw_per_kg,compromise_score,is_run_compromise
MOPSO,PySwarm + Pareto repository,1,20280719,22,2520.2152303222497,-16.22372524325077,12.0,4.345883551935779,37.630415259254356,7903.062138310302,0.5264523717127357,False
MOPSO,PySwarm + Pareto repository,1,20280719,23,2574.014230017046,-18.15886377331512,11.956104545286122,3.974056528782601,37.5832172078824,8061.6446585758995,0.5224475284314686,False
MOPSO,PySwarm + Pareto repository,1,20280719,24,2600.5797516677335,-16.130020172432154,12.0,3.9864336302443,37.535655342584135,8134.538770791923,0.5209899351460385,False
MOPSO,PySwarm + Pareto repository,1,20280719,25,2659.073486975997,-17.608500070650592,11.94840294530046,4.229036270064009,37.508676732015815,8311.527319138062,0.516235629061167,False
MOPSO,PySwarm + Pareto repository,1,20280719,26,2716.8589396586717,-20.957688236949096,11.976500248955887,4.029703247141876,37.499622055748944,8490.098617998587,0.5111799151105627,False
MOPSO,PySwarm + Pareto repository,1,20280719,27,2798.599825680369,-20.97135078467349,11.986627045501743,4.200247235973351,37.47579844636139,8739.98024993497,0.504290857762808,False
MOPSO,PySwarm + Pareto repository,1,20280719,28,2824.119213749838,-21.494013569385984,11.977372603410684,3.978827925585516,37.43449930118282,8809.957394464605,0.5029312624907297,False
MOPSO,PySwarm + Pareto repository,1,20280719,29,2852.330437068714,-18.46628351377801,11.985663027948842,4.267585499501729,37.40186817662955,8890.207250286016,0.5011576957081898,False
MOPSO,PySwarm + Pareto repository,1,20280719,30,2944.6223974814834,-21.889378854369014,11.982417243464543,4.185254824141106,37.37661571657473,9171.668315090365,0.4934565800734895,False
MOPSO,PySwarm + Pareto repository,1,20280719,31,3045.2211670992224,-20.71502366377925,11.987958570985347,4.392439201726557,37.31021164984037,9468.153855420493,0.4861335543794875,False
MOPSO,PySwarm + Pareto repository,1,20280719,32,3104.881363217088,-22.256368152963873,11.97152741248442,4.181428160701288,37.25992798640355,9640.63799998293,0.48216626351941166,False
MOPSO,PySwarm + Pareto repository,1,20280719,33,3188.1601124102726,-23.756589330359148,12.0,4.082114815181239,37.216836738411374,9887.769533290699,0.4759705679113437,False
MOPSO,PySwarm + Pareto repository,1,20280719,34,3228.8179849640524,-22.761952982533472,11.979368440525228,4.29293095956904,37.182388508704,10004.597061735349,0.47337333450178515,False
MOPSO,PySwarm + Pareto repository,1,20280719,35,3241.552047552864,-26.48537732185953,11.996869801055912,4.4,37.10760150623869,10023.851803526979,0.4745234011142685,False
MOPSO,PySwarm + Pareto repository,1,20280719,36,3260.351135753177,-21.993267702978955,11.934662280631798,4.119711285649387,37.08996358826667,10077.192075837433,0.4734189622410217,False
MOPSO,PySwarm + Pareto repository,1,20280719,37,3327.649073435244,-25.266082091168727,11.963254021053586,4.07668961396567,37.072618591023755,10280.388742019866,0.46805462532469877,False
MOPSO,PySwarm + Pareto repository,1,20280719,38,3362.1973113136064,-26.387929981540026,11.993902316340295,4.231837890149373,37.056252583030144,10382.536066835155,0.4655544277411883,False
MOPSO,PySwarm + Pareto repository,1,20280719,39,3449.797653435446,-25.54333882602998,11.980981241747708,4.304812225050499,37.02195164792572,10643.186826717889,0.45903229059604944,False
MOPSO,PySwarm + Pareto repository,1,20280719,40,3497.7459083514946,-26.392862831980125,11.98724685700272,4.1946060824327915,36.97664776308263,10777.909868156392,0.45641336688777173,False
MOPSO,PySwarm + Pareto repository,1,20280719,41,3539.2910617225866,-25.51344591072734,11.975141376565642,4.295741994977295,36.95259801773652,10898.833322633554,0.4536558615873219,False
MOPSO,PySwarm + Pareto repository,1,20280719,42,3594.9095118867635,-27.481801637358586,11.999385128702546,4.306035719674127,36.91063282837697,11057.532087041016,0.4503636410566815,False
MOPSO,PySwarm + Pareto repository,1,20280719,43,3648.8935217963294,-25.702432942287118,12.0,4.305370823305413,36.887668837338595,11216.597987894427,0.4465658702614868,False
MOPSO,PySwarm + Pareto repository,1,20280719,44,3733.9382606120507,-26.770352387298786,11.976987819698303,4.233928941281681,36.79955206296152,11450.604618439762,0.44268012435700355,False
MOPSO,PySwarm + Pareto repository,1,20280719,45,3784.3395579977846,-25.730902995482666,11.993437043180426,4.140313693082286,36.746242162671784,11588.354818663742,0.4405422188100237,False
MOPSO,PySwarm + Pareto repository,1,20280719,46,3816.546791654361,-28.741190423244134,11.961922054075636,4.120690924314041,36.699823518657446,11672.216142034447,0.43973910429089835,False
MOPSO,PySwarm + Pareto repository,1,20280719,47,3862.186405474841,-26.824388690670673,11.983256278573572,4.297898562697618,36.698471907843064,11811.361608680987,0.4359596985481105,False
MOPSO,PySwarm + Pareto repository,1,20280719,48,3897.795060257368,-27.938507296890748,11.986352595977793,4.1016143087285695,36.66737249619867,11910.15861569167,0.43429696136927876,False
MOPSO,PySwarm + Pareto repository,1,20280719,49,3936.6276638856643,-27.50872490875217,11.982173181496576,4.277328068363674,36.63864888548959,12019.393230834332,0.43229894411333397,False
MOPSO,PySwarm + Pareto repository,1,20280719,50,3992.742871108463,-28.684038348053278,11.988331671354446,4.31251418027587,36.6073133765909,12180.299126234733,0.429020562649699,False
MOPSO,PySwarm + Pareto repository,1,20280719,51,4036.222323898607,-30.411618977546823,12.0,4.127515600512401,36.55279893462192,12294.60192174152,0.42789677571401263,False
MOPSO,PySwarm + Pareto repository,1,20280719,52,4075.7666590305284,-30.424029387975096,11.997274514355311,4.232878954517799,36.53142921523149,12407.798433514525,0.42563729321203464,False
