algorithm,framework,run,seed,solution,engine_speed_rpm,ignition_timing_degrees,compression_ratio,connecting_rod_to_crank_ratio,thermal_efficiency_percent,net_specific_power_kw_per_kg,compromise_score,is_run_compromise,front_size_before_hv48,fixed_cardinality_limit,hv48_solution,scaled_minimization_efficiency,scaled_minimization_power,hv48_compromise_score,is_hv48_run_compromise
MOPSO,PySwarm + Pareto repository,4,20280722,173,9029.784028608889,-63.77877095940429,11.982086086265658,4.240841845449851,31.661415971921546,23824.645688866625,0.621337190584537,False,192,48,43,-0.7915353992980386,-0.882394284772838,0.621337190584537,False
MOPSO,PySwarm + Pareto repository,4,20280722,175,9131.39165234946,-64.0726875135542,11.97965206238074,3.922904161765804,31.48002228277833,23954.701057394755,0.6375644557193315,False,192,48,44,-0.7870005570694583,-0.8872111502738799,0.6375644557193315,False
MOPSO,PySwarm + Pareto repository,4,20280722,179,9333.167110808476,-66.14337048463412,11.987941227062166,3.970695182096888,31.288373057867343,24334.967864532795,0.6543112264004641,False,192,48,45,-0.7822093264466836,-0.9012951060938073,0.6543112264004641,False
MOPSO,PySwarm + Pareto repository,4,20280722,182,9522.80707191615,-69.3411616439059,11.991127948535825,4.057689471837433,31.101543423364078,24681.16647162655,0.6708836147194419,False,192,48,46,-0.7775385855841019,-0.9141172767269093,0.6708836147194416,False
MOPSO,PySwarm + Pareto repository,4,20280722,185,9740.073997999987,-69.3643251007722,11.998085126181778,4.130736256119187,30.90801416266516,25087.195422965862,0.6882050473094387,False,192,48,47,-0.7727003540666291,-0.9291553860357726,0.6882050473094387,False
MOPSO,PySwarm + Pareto repository,4,20280722,192,10000.0,-69.13038938744668,12.0,4.097388128403457,30.618850867276077,25515.709056063395,0.7144891382429117,False,192,48,48,-0.7654712716819019,-0.9450262613356814,0.7144891382429117,False
MOPSO,PySwarm + Pareto repository,5,20280723,1,500.0,-3.2692454890247404,11.977583919780924,3.995272069579705,38.40958078037859,1600.3991991824412,0.7071434150266234,False,192,48,1,-0.9602395195094647,-0.059274044414164485,0.7071434150266234,False
MOPSO,PySwarm + Pareto repository,5,20280723,3,633.1675586771037,-4.551755478661448,11.97796112582488,3.722940385224741,38.39051900147206,2025.6359327090852,0.6946128922277285,False,192,48,2,-0.9597629750368014,-0.07502355306329946,0.6946128922277285,False
MOPSO,PySwarm + Pareto repository,5,20280723,4,885.4335882615583,-7.225063303068566,11.980515001507344,3.972386322684491,38.33491786979158,2828.5853237634747,0.6709871677675817,False,192,48,3,-0.9583729467447896,-0.10476241939864721,0.6709871677675817,False
MOPSO,PySwarm + Pareto repository,5,20280723,7,1071.6336123922583,-7.866387117533662,11.988514258445472,3.9988892999667303,38.30234549185025,3420.5067385439843,0.6535836699528637,False,192,48,4,-0.9575586372962561,-0.1266854347608883,0.6535836699528637,False
MOPSO,PySwarm + Pareto repository,5,20280723,10,1403.4316968577764,-11.786427835887809,12.0,3.8472985893762495,38.17342952925257,4464.48341492664,0.6231459123104566,False,192,48,5,-0.9543357382313143,-0.16535123758987555,0.6231459123104566,False
MOPSO,PySwarm + Pareto repository,5,20280723,13,1662.3532903845337,-13.100113958307958,11.972739695236234,3.837781376193788,38.06186229472892,5272.688501983803,0.5998254809996838,False,192,48,6,-0.9515465573682229,-0.19528475933273343,0.5998254809996838,False
